Equipo,Jugador,Posición,Puntos,Precio,PJ,Casa,Fuera,Media,Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
Alavés,Javi López,Defensa,134,9000000,32,17,15,4.19,unai-lopez,Rayo Vallecano,6.8176470588235,231.8,1,2,1.1148,2.61091829,1105,205,1310,22,9,0,5,29,2045,34,588566
Celta,Guaita,Portero,133,10000000,27,12,15,4.93,gavi,Barcelona,7.1333333333333,85.6,1,1,0.9486,1.37264491,481,45,526,12,5,0,4,9,943,12,1103693
Mallorca,Abdón Prats,Delantero,133,9000000,34,18,16,3.91,abdon-prats,RCD Mallorca,6.830303030303,225.4,6,1,3.1826,1.19593133,129,98,227,8,3,0,13,32,1218,33,146852
Mallorca,Giovanni,Defensa,132,9000000,34,19,15,3.88,giovanni-gonzalez,RCD Mallorca,6.7636363636364,223.2,1,1,0.4533,1.89604171,770,227,997,15,7,0,4,14,2463,34,590404
Athletic,Paredes,Defensa,132,8000000,34,16,18,3.88,aitor-paredes,Athletic Club,6.7969696969697,224.3,1,0,1.1865,0.3558216,1305,210,1515,2,7,1,3,14,2626,33,959872
Atlético,Hermoso,Defensa,131,23000000,31,14,17,4.23,mario-hermoso,Atlético Madrid,7.0333333333333,211.0,0,1,1.3977,1.06374096,1548,226,1774,11,9,0,4,17,2536,30,353130
Atlético,Roro Riquelme,Centrocampista,131,17000000,34,17,17,3.85,rodrigo-riquelme,Atlético Madrid,6.8757575757576,226.9,3,5,2.7374,3.65760301,451,118,569,23,1,0,16,37,1494,33,989113
Getafe,Luis Milla,Centrocampista,131,15000000,27,13,14,4.85,luis-milla,Getafe CF,7.04,176.0,0,1,0.604,2.06422981,928,182,1110,11,6,0,5,15,2056,26,811629
Real Sociedad,Hamari Traoré,Defensa,130,21000000,31,16,15,4.19,hamari-traore,Real Sociedad,6.9166666666667,207.5,0,2,0.5418,2.2191657,989,184,1173,16,7,0,2,18,2206,30,362014
Las Palmas,Moleiro,Centrocampista,130,14000000,28,15,13,4.64,alberto-moleiro,Las Palmas,6.8037037037037,183.7,3,3,1.8829,2.63900574,542,122,664,52,0,0,8,30,1717,27,1012444
Real Sociedad,Barrenetxea,Centrocampista,130,12000000,29,16,13,4.48,ander-barrenetxea,Real Sociedad,6.8148148148148,184.0,4,1,3.5123,0.82464126,341,134,475,37,1,0,12,37,1379,28,966862
Betis,Rui Silva,Portero,129,13000000,28,14,14,4.61,rui-silva,Real Betis,7.1214285714286,199.4,0,0,0.0,0.01841307,552,284,836,1,4,0,0,0,2475,28,253809
Rayo Vallecano,Unai López,Centrocampista,129,10000000,35,19,16,3.69,unai-lopez,Rayo Vallecano,6.8176470588235,231.8,1,2,1.1148,2.61091829,1105,205,1310,22,9,0,5,29,2045,34,588566
