Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
sergi-altimira,Real Betis,6.7454545454545,74.2,1,0,0.2081,0.30506121,283,28,311,6,1,0,2,7,554,13,1137814
chadi-riad,Real Betis,6.8,176.8,0,0,0.7282,0.2213661,1072,123,1195,0,1,0,5,11,2164,26,1064218
hector-bellerin,Real Betis,6.5363636363636,143.8,0,1,0,1.22970146,592,149,741,15,0,1,0,0,1624,22,188365
german-pezzella,Real Betis,6.946875,222.3,1,0,2.0278,0.26865836,1273,207,1480,3,7,0,5,23,2770,32,158241
youssouf-sabaly,Real Betis,6.6636363636364,73.3,0,1,0.1008,0.61993943,417,71,488,9,2,0,0,3,958,11,111803
sokratis,Real Betis,6.7142857142857,94.0,0,0,0.2114,0.10401473,486,65,551,0,5,0,1,1,1050,14,13108
juan-miranda,Real Betis,7.0,168.0,1,1,1.4895,2.1199885,724,154,878,7,8,0,5,14,1770,24,855829
marc-bartra,Real Betis,6.5666666666667,19.7,0,0,0.2075,0.02113337,101,15,116,2,1,0,0,3,225,3,99519
abner-vinicius,Real Betis,6.695652173913,154.0,0,1,0.121,1.02737855,493,116,609,7,3,0,0,4,1418,23,973838
aitor-ruibal,Real Betis,6.8941176470588,117.2,2,1,0.8606,0.75058348,372,101,473,27,5,0,2,13,1030,18,893062
claudio-bravo,Real Betis,7.2,50.4,0,0,0,0.12749051,156,43,199,0,0,0,0,0,630,7,13249
rui-silva,Real Betis,7.1214285714286,199.4,0,0,0,0.01841307,552,284,836,1,4,0,0,0,2475,28,253809
alexander-sorloth,Villarreal CF,7.2060606060606,237.8,23,6,12.2817,2.94650844,353,108,461,30,3,0,36,77,2474,33,309078
gerard-moreno,Villarreal CF,7.3466666666667,220.4,10,6,9.6832,4.61652218,766,197,963,43,0,0,21,63,2229,30,146866
goncalo-guedes,Villarreal CF,7.0375,112.6,3,2,2.2988,1.10058132,234,56,290,10,0,0,8,26,924,16,280979
jose-luis-morales,Villarreal CF,6.6535714285714,186.3,6,0,4.7165,0.82140387,140,45,185,8,0,0,10,22,994,28,344129
